P	Z	T	DP	RH	QV	TK	VP	Rho	Rhoa	dp/dz	qvbhyp	Y = M0 + M1*x + ... M8*x\u8\n + M9*x\u9	N
50.000	20726	-63.000	-73.800	25.500	0.040000	210.15	0.0032154	0.082899	0.082895	-0.81324	0.020000	M0	1.1439
100.00	16590	-74.500	-81.300	33.800	0.0100000	198.65	0.0016077	0.17540	0.17540	-1.7207	0.0050000	M1	-0.00010117
150.00	14203	-67.200	-74.700	35.300	0.0100000	205.95	0.0024116	0.25377	0.25377	-2.4895	0.0050000	M2	3.2486e-09
200.00	12418	-54.300	-63.200	35.900	0.040000	218.85	0.012862	0.31841	0.31840	-3.1236	0.020000	M3	-3.4898e-14
250.00	10949	-42.300	-52.400	37.000	0.14000	230.85	0.056270	0.37730	0.37725	-3.7014	0.070000	M4	-2.6925e-19
300.00	9690.0	-32.300	-43.500	38.700	0.34000	240.85	0.16399	0.43391	0.43377	-4.2567	0.17000	R	0.99998
400.00	7596.0	-17.100	-38.700	44.400	1.1000	256.05	0.70740	0.54395	0.54336	-5.3362	0.55000		
500.00	5887.0	-6.6000	-16.900	51.800	2.4100	266.55	1.9373	0.65263	0.65106	-6.4023	1.2050	M0	-11.432
600.00	4437.0	1.6000	-7.1000	57.700	4.1100	274.75	3.9646	0.75899	0.75588	-7.4457	2.0550	M1	0.0010633
700.00	3178.0	8.9000	2.5000	65.700	6.7400	282.05	7.5852	0.86114	0.85538	-8.4478	3.3700	M2	-4.0545e-08
850.00	1541.0	17.600	13.800	79.500	11.960	290.75	16.344	1.0110	0.99905	-9.9179	5.9800	M3	7.9634e-13
925.00	810.00	21.900	19.000	84.200	15.270	295.05	22.709	1.0818	1.0655	-10.613	7.6350	M4	-5.8778e-18
1000.0	124.00	26.500	23.300	83.300	18.500	299.65	29.743	1.1491	1.1282	-11.273	9.2500	R	0.99998
1014.8	0.0000	26.800	23.700	83.300	18.650	299.95	30.428	1.1648	1.1435	-11.427	9.3250		
												M0	9.4826
												M1	-0.0026721
												M2	2.8312e-07
												M3	-1.3217e-11
												M4	2.2749e-16
												R	0.99977
